Sample	No	Stn	Individual	Initial depth	Final Depth	Year	Date	Long	Lat	Size	RFLP_diagnostic	Msat_diagnostic	Combined_diagnostic	EL696609	EL696609	EL585922	EL585922	EH666870	EH666870	EL773519	EL773519	EH666474	EH666474	EL773359	EL773359	FK868270	FK868270	FG632811	FG632811	FK670364	FK670364	FK867682	FK867682
Ech4	126	LL7	2	100	0	2008	2018-10-08	-58.2	44.1	2.4	F	F	F	120	122	163	163	141	141	191	191	133	136	133	133	241	241	247	247	294	294	170	170
Ech4	127	LL7	3	100	0	2008	2018-10-08	-58.2	44.1	2.2	F	F	F	120	124	163	163	141	141	191	191	133	136	124	124	241	241	247	247	294	294	170	170
Ech4	128	LL7	4	100	0	2008	2018-10-08	-58.2	44.1	2	F	F	F	126	128	157	163	141	141	191	191	133	133	127	127	238	238	247	247	0	0	170	170
Ech4	129	LL7	5	100	0	2008	2018-10-08	-58.2	44.1	2.4	F	H	H	118	118	163	163	138	141	191	191	133	133	133	133	238	238	247	247	288	288	168	170
Ech4	130	LL7	6	100	0	2008	2018-10-08	-58.2	44.1	2.4	F	F	F	120	130	163	163	141	141	191	191	133	133	121	133	238	238	244	247	282	288	170	170
Ech4	131	LL7	7	100	0	2008	2018-10-08	-58.2	44.1	2.3	F	F	F	118	120	163	163	141	141	191	191	133	133	124	124	238	238	247	250	285	294	170	170
Ech4	132	LL7	8	100	0	2008	2018-10-08	-58.2	44.1	2.2	F	H	H	118	118	163	163	141	144	191	191	133	133	130	133	238	238	247	247	285	291	168	170
Ech4	133	LL7	10	100	0	2008	2018-10-08	-58.2	44.1	2.4	F	F	F	118	122	163	163	141	144	191	191	136	136	124	127	238	238	247	247	288	291	168	170
Ech4	134	LL7	11	100	0	2008	2018-10-08	-58.2	44.1	2.4	F	F	F	120	120	163	163	141	147	191	191	136	136	124	130	238	241	247	247	282	282	168	170
Ech4	135	LL7	12	100	0	2008	2018-10-08	-58.2	44.1	2.5	F	F	F	116	118	163	163	138	141	191	191	133	133	124	124	238	238	247	247	288	288	168	170
Ech4	136	LL7	13	100	0	2008	2018-10-08	-58.2	44.1	2.1	F	F	F	120	122	163	163	138	141	191	191	133	133	127	136	238	238	247	247	288	291	168	168
Ech4	137	LL7	14	100	0	2008	2018-10-08	-58.2	44.1	2.4	F	F	F	118	120	163	163	141	141	191	191	133	133	127	127	238	238	247	247	288	288	170	170
Ech4	138	LL7	15	100	0	2008	2018-10-08	-58.2	44.1	2.1	F	F	F	118	118	163	163	141	141	191	194	133	133	124	130	241	241	247	247	288	291	168	170
Ech4	139	LL7	16	100	0	2008	2018-10-08	-58.2	44.1	2.6	F	F	F	122	128	163	163	141	141	191	191	133	139	127	133	238	244	247	247	291	294	170	172
Ech4	140	LL7	17	100	0	2008	2018-10-08	-58.2	44.1	2.5	F	F	F	118	118	163	163	138	141	191	191	133	133	124	124	238	238	247	247	288	291	168	170
Ech4	141	LL7	18	100	0	2008	2018-10-08	-58.2	44.1	2	F	F	F	118	120	163	163	138	141	191	194	133	133	130	133	238	238	247	247	291	291	168	170
Ech4	142	LL7	21	100	0	2008	2018-10-08	-58.2	44.1	2.4	F	F	F	116	118	163	163	138	138	191	191	133	133	124	136	238	238	247	247	288	288	168	170
Ech4	143	LL7	22	100	0	2008	2018-10-08	-58.2	44.1	2.3	F	F	F	118	118	163	163	141	144	191	191	133	133	127	133	238	238	247	247	282	291	168	170
Ech4	144	LL7	23	100	0	2008	2018-10-08	-58.2	44.1	2	F	F	F	114	118	163	163	0	0	191	191	133	136	124	133	238	241	247	247	291	294	170	170
Ech4	145	LL7	24	100	0	2008	2018-10-08	-58.2	44.1	2.6	F	F	F	118	120	163	163	141	141	191	191	133	136	124	133	238	238	247	247	288	288	170	170
Ech4	146	LL7	25	100	0	2008	2018-10-08	-58.2	44.1	2.8	F	F	F	112	120	163	163	138	141	191	191	133	136	124	133	238	238	247	247	291	291	168	170
Ech4	147	LL7	26	100	0	2008	2018-10-08	-58.2	44.1	3.5	G	H	H	114	118	163	163	135	141	191	197	133	133	133	133	238	241	247	247	285	306	168	170
Ech4	148	LL7	27	100	0	2008	2018-10-08	-58.2	44.1	3.3	G	H	H	114	118	163	163	135	141	191	197	133	133	133	133	238	238	247	247	288	291	168	168
Ech4	149	LL7	28	100	0	2008	2018-10-08	-58.2	44.1	3.3	G	H	H	110	118	163	163	138	141	191	191	133	133	133	133	238	238	244	247	288	294	168	168
Ech4	150	LL7	29	100	0	2008	2018-10-08	-58.2	44.1	2.9	F	F	F	118	128	163	163	141	141	191	191	136	136	124	133	238	238	247	247	288	294	170	170
Ech4	151	LL7	30	100	0	2008	2018-10-08	-58.2	44.1	3.4	G	H	H	114	118	163	163	138	141	191	197	133	133	124	133	238	238	247	247	285	291	170	170
Ech4	152	LL7	31	100	0	2008	2018-10-08	-58.2	44.1	2.1	F	H	H	118	124	163	163	135	141	191	191	133	133	133	133	235	235	247	247	291	291	170	170
Ech4	153	LL7	32	100	0	2008	2018-10-08	-58.2	44.1	2.3	F	F	F	118	122	163	163	141	144	191	191	133	133	124	127	238	238	247	247	294	294	168	168
